Anio;MES;AnioMes;PKID;CantidadVentaMes
2019;5;2019-05;B2B0130001;2967
2019;6;2019-06;B2B0130001;3470
2019;7;2019-07;B2B0130001;4786
2019;8;2019-08;B2B0130001;3557
2019;9;2019-09;B2B0130001;5315
2019;10;2019-10;B2B0130001;3335
2019;11;2019-11;B2B0130001;4698
2019;12;2019-12;B2B0130001;5391
2020;1;2020-01;B2B0130001;2879
2020;2;2020-02;B2B0130001;4265
2020;3;2020-03;B2B0130001;5312
2020;4;2020-04;B2B0130001;39
2020;5;2020-05;B2B0130001;4782
2020;6;2020-06;B2B0130001;8048
2020;7;2020-07;B2B0130001;5108
2020;8;2020-08;B2B0130001;5424
2020;9;2020-09;B2B0130001;9325
2020;10;2020-10;B2B0130001;3060
2020;11;2020-11;B2B0130001;6184
2020;12;2020-12;B2B0130001;5668
2021;1;2021-01;B2B0130001;3285
2021;2;2021-02;B2B0130001;4789
2021;3;2021-03;B2B0130001;2285
2021;4;2021-04;B2B0130001;3991
2021;5;2021-05;B2B0130001;3646
2021;6;2021-06;B2B0130001;4926
2021;7;2021-07;B2B0130001;4453
2021;8;2021-08;B2B0130001;5470
2021;9;2021-09;B2B0130001;2764
2021;10;2021-10;B2B0130001;3603
2021;11;2021-11;B2B0130001;3864
2021;12;2021-12;B2B0130001;6976
2022;1;2022-01;B2B0130001;4323
2022;2;2022-02;B2B0130001;4883
2022;3;2022-03;B2B0130001;5291
2022;4;2022-04;B2B0130001;6849
2022;5;2022-05;B2B0130001;3865
2022;6;2022-06;B2B0130001;2794
2022;7;2022-07;B2B0130001;8723
2022;8;2022-08;B2B0130001;2395
2022;9;2022-09;B2B0130001;3177
2022;10;2022-10;B2B0130001;1692
2022;11;2022-11;B2B0130001;3793
2022;12;2022-12;B2B0130001;3700
2023;1;2023-01;B2B0130001;2809
2023;2;2023-02;B2B0130001;3443
2023;3;2023-03;B2B0130001;2259
2023;4;2023-04;B2B0130001;3477
2023;5;2023-05;B2B0130001;2737
2023;6;2023-06;B2B0130001;2976
2023;7;2023-07;B2B0130001;4712
2023;7;2023-07;B2B0130001;4108
2023;8;2023-08;B2B0130001;5166
2023;9;2023-09;B2B0130001;3517
2023;10;2023-10;B2B0130001;2918
2023;11;2023-11;B2B0130001;3444
2024;12;2023-12;B2B0130001;4311
2019;5;2019-05;B2B0130002;5601
2019;6;2019-06;B2B0130002;8307
2019;7;2019-07;B2B0130002;7731
2019;8;2019-08;B2B0130002;11120
2019;9;2019-09;B2B0130002;14597
2019;10;2019-10;B2B0130002;12659
2019;11;2019-11;B2B0130002;11395
2019;12;2019-12;B2B0130002;9726
2020;1;2020-01;B2B0130002;4276
2020;2;2020-02;B2B0130002;9310
2020;3;2020-03;B2B0130002;12178
2020;4;2020-04;B2B0130002;701
2020;5;2020-05;B2B0130002;9980
2020;6;2020-06;B2B0130002;13739
2020;7;2020-07;B2B0130002;17992
2020;8;2020-08;B2B0130002;12051
2020;9;2020-09;B2B0130002;18331
2020;10;2020-10;B2B0130002;10304
2020;11;2020-11;B2B0130002;10820
2020;12;2020-12;B2B0130002;10181
2021;1;2021-01;B2B0130002;9304
2021;2;2021-02;B2B0130002;7751
2021;3;2021-03;B2B0130002;8139
2021;4;2021-04;B2B0130002;8472
2021;5;2021-05;B2B0130002;8768
2021;6;2021-06;B2B0130002;9609
2021;7;2021-07;B2B0130002;10978
2021;8;2021-08;B2B0130002;8872
2021;9;2021-09;B2B0130002;19156
2021;10;2021-10;B2B0130002;7029
2021;11;2021-11;B2B0130002;6961
2021;12;2021-12;B2B0130002;8965
2022;1;2022-01;B2B0130002;9636
2022;2;2022-02;B2B0130002;9462
2022;3;2022-03;B2B0130002;11521
2022;4;2022-04;B2B0130002;18882
2022;5;2022-05;B2B0130002;7320
2022;6;2022-06;B2B0130002;6342
2022;7;2022-07;B2B0130002;12931
2022;8;2022-08;B2B0130002;4769
2022;9;2022-09;B2B0130002;16443
2022;10;2022-10;B2B0130002;18101
2022;11;2022-11;B2B0130002;4661
2022;12;2022-12;B2B0130002;5801
2023;1;2023-01;B2B0130002;6191
2023;2;2023-02;B2B0130002;6120
2023;3;2023-03;B2B0130002;7982
2023;4;2023-04;B2B0130002;11214
2023;5;2023-05;B2B0130002;4679
2023;6;2023-06;B2B0130002;7912
2023;7;2023-07;B2B0130002;11570
2023;7;2023-07;B2B0130002;8596
2023;8;2023-08;B2B0130002;9674
2023;9;2023-09;B2B0130002;8793
2023;10;2023-10;B2B0130002;8316
2023;11;2023-11;B2B0130002;7972
2024;12;2023-12;B2B0130002;7136
2019;5;2019-05;B2B0130003;572
2019;6;2019-06;B2B0130003;2351
2019;7;2019-07;B2B0130003;255
2019;8;2019-08;B2B0130003;511
2019;9;2019-09;B2B0130003;956
2019;10;2019-10;B2B0130003;729
2019;11;2019-11;B2B0130003;637
2019;12;2019-12;B2B0130003;554
2020;1;2020-01;B2B0130003;459
2020;2;2020-02;B2B0130003;739
2020;3;2020-03;B2B0130003;467
2020;4;2020-04;B2B0130003;6
2020;5;2020-05;B2B0130003;468
2020;6;2020-06;B2B0130003;367
2020;7;2020-07;B2B0130003;298
2020;8;2020-08;B2B0130003;309
2020;9;2020-09;B2B0130003;431
2020;10;2020-10;B2B0130003;865
2020;11;2020-11;B2B0130003;376
2020;12;2020-12;B2B0130003;482
2021;1;2021-01;B2B0130003;427
2021;2;2021-02;B2B0130003;334
2021;3;2021-03;B2B0130003;833
2021;4;2021-04;B2B0130003;239
2021;5;2021-05;B2B0130003;231
2021;6;2021-06;B2B0130003;4
2021;7;2021-07;B2B0130003;89
2021;9;2021-09;B2B0130003;5
2021;11;2021-11;B2B0130003;8
2021;12;2021-12;B2B0130003;8
2022;1;2022-01;B2B0130003;9
2023;7;2023-07;B2B0130003;0
2023;8;2023-08;B2B0130003;0
2023;9;2023-09;B2B0130003;0
2023;10;2023-10;B2B0130003;0
2019;5;2019-05;B2B0130004;92
2019;6;2019-06;B2B0130004;369
2019;7;2019-07;B2B0130004;566
2019;8;2019-08;B2B0130004;445
2019;9;2019-09;B2B0130004;552
2019;10;2019-10;B2B0130004;317
2019;11;2019-11;B2B0130004;294
2019;12;2019-12;B2B0130004;509
2020;1;2020-01;B2B0130004;241
2020;2;2020-02;B2B0130004;439
2020;3;2020-03;B2B0130004;293
2020;4;2020-04;B2B0130004;8
2020;5;2020-05;B2B0130004;187
2020;6;2020-06;B2B0130004;429
2020;7;2020-07;B2B0130004;390
2020;8;2020-08;B2B0130004;154
2020;9;2020-09;B2B0130004;634
2020;10;2020-10;B2B0130004;521
2020;11;2020-11;B2B0130004;516
2020;12;2020-12;B2B0130004;377
2021;1;2021-01;B2B0130004;327
2021;2;2021-02;B2B0130004;474
2021;3;2021-03;B2B0130004;552
2021;4;2021-04;B2B0130004;215
2021;5;2021-05;B2B0130004;597
2021;6;2021-06;B2B0130004;330
2021;7;2021-07;B2B0130004;485
2021;8;2021-08;B2B0130004;2
2021;9;2021-09;B2B0130004;2
2021;11;2021-11;B2B0130004;8
2021;12;2021-12;B2B0130004;9
2022;1;2022-01;B2B0130004;5
2022;2;2022-02;B2B0130004;1
2022;7;2022-07;B2B0130004;16
2023;7;2023-07;B2B0130004;2
2023;8;2023-08;B2B0130004;10
2023;9;2023-09;B2B0130004;4
2023;10;2023-10;B2B0130004;4
2023;11;2023-11;B2B0130004;3
2024;12;2023-12;B2B0130004;3
2019;5;2019-05;B2B0130006;1555
2019;6;2019-06;B2B0130006;1054
2019;7;2019-07;B2B0130006;1487
2019;8;2019-08;B2B0130006;905
2019;9;2019-09;B2B0130006;1251
2019;10;2019-10;B2B0130006;1088
2019;11;2019-11;B2B0130006;1650
2019;12;2019-12;B2B0130006;1410
2020;1;2020-01;B2B0130006;617
2020;2;2020-02;B2B0130006;1477
2020;3;2020-03;B2B0130006;740
2020;4;2020-04;B2B0130006;44
2020;5;2020-05;B2B0130006;1092
2020;6;2020-06;B2B0130006;2029
2020;7;2020-07;B2B0130006;2024
2020;8;2020-08;B2B0130006;1583
2020;9;2020-09;B2B0130006;2213
2020;10;2020-10;B2B0130006;1753
2020;11;2020-11;B2B0130006;1540
2020;12;2020-12;B2B0130006;2455
2021;1;2021-01;B2B0130006;1764
2021;2;2021-02;B2B0130006;1786
2021;3;2021-03;B2B0130006;344
2021;4;2021-04;B2B0130006;849
2021;5;2021-05;B2B0130006;476
2021;6;2021-06;B2B0130006;794
2021;7;2021-07;B2B0130006;1091
2021;8;2021-08;B2B0130006;393
2021;9;2021-09;B2B0130006;546
2021;10;2021-10;B2B0130006;345
2021;11;2021-11;B2B0130006;447
2021;12;2021-12;B2B0130006;616
2022;1;2022-01;B2B0130006;490
2022;2;2022-02;B2B0130006;512
2022;3;2022-03;B2B0130006;643
2022;4;2022-04;B2B0130006;355
2022;5;2022-05;B2B0130006;384
2022;6;2022-06;B2B0130006;363
2022;7;2022-07;B2B0130006;255
2022;8;2022-08;B2B0130006;690
2022;9;2022-09;B2B0130006;264
2022;10;2022-10;B2B0130006;316
2022;11;2022-11;B2B0130006;663
2022;12;2022-12;B2B0130006;466
2023;1;2023-01;B2B0130006;470
2023;2;2023-02;B2B0130006;308
2023;3;2023-03;B2B0130006;332
2023;4;2023-04;B2B0130006;514
2023;5;2023-05;B2B0130006;658
2023;6;2023-06;B2B0130006;469
2023;7;2023-07;B2B0130006;1223
2023;7;2023-07;B2B0130006;930
2023;8;2023-08;B2B0130006;697
2023;9;2023-09;B2B0130006;536
2023;10;2023-10;B2B0130006;505
2023;11;2023-11;B2B0130006;533
2024;12;2023-12;B2B0130006;646
2019;12;2019-12;B2B0130007;515
2020;3;2020-03;B2B0130007;7
2020;6;2020-06;B2B0130007;3
2021;12;2021-12;B2B0130007;4
2022;5;2022-05;B2B0130007;11
